Timestamp,Q2. How did you first  hear about the Tunghai GMBA program?,Q3. Importance of each information area [Program curriculum and course structure],Q3. Importance of each information area [Tuition fees and scholarship opportunities],Q3. Importance of each information area [Visa and Alien Resident Certificate (ARC) process],Q3. Importance of each information area [Career outcomes and job placement in Taiwan/Asia],Q3. Importance of each information area [Work permit and internship eligibility rules],Q3. Importance of each information area [Housing options near or on campus (Taichung area)],Q3. Importance of each information area [Chinese language support and requirements],Q3. Importance of each information area [Faculty profiles and academic background],"Q3. Importance of each information area [Student life, clubs, and international community]",Q3. Importance of each information area [Health insurance and medical services],Q4. Sufficiency of information on the current homepage [Program curriculum and course structure],Q4. Sufficiency of information on the current homepage [Tuition fees and scholarship opportunities],Q4. Sufficiency of information on the current homepage [Visa and Alien Resident Certificate (ARC) process],Q4. Sufficiency of information on the current homepage [Career outcomes and job placement in Taiwan/Asia],Q4. Sufficiency of information on the current homepage [Work permit and internship eligibility rules],Q4. Sufficiency of information on the current homepage [Housing options near or on campus (Taichung area)],Q4. Sufficiency of information on the current homepage [Chinese language support and requirements],Q4. Sufficiency of information on the current homepage [Faculty profiles and academic background],"Q4. Sufficiency of information on the current homepage [Student life, clubs, and international community]",Q4. Sufficiency of information on the current homepage [Health insurance and medical services],Q5. Select the 3 types of information that mattered most to you when deciding to apply to or join the Tunghai GMBA program. (Select exactly 3),Q6. Barriers to finding information on the homepage [Information was difficult to find or navigate],Q6. Barriers to finding information on the homepage [Information was outdated or inaccurate],Q6. Barriers to finding information on the homepage [Information was not specific to international students],Q6. Barriers to finding information on the homepage [Language of the content was unclear or too technical],Q6. Barriers to finding information on the homepage [It was unclear who to contact for follow-up],Q6. Barriers to finding information on the homepage [Some pages were only available in Chinese],Q7. Think back to when you were first considering applying to the Tunghai GMBA. What information was hardest to find on the homepage at that stage?,Q8. Where did you go when the homepage did not answer your question? (Select all that apply),Q9. What format do you prefer for complex information such as visa steps or scholarship procedures? (Select one),"Q10. Overall, how well does the current Tunghai GMBA homepage meet the information needs of international students?","Q11. If you could add one new section to the Tunghai GMBA homepage specifically for international students, what would it be?",Q12. Is there anything else you would like the homepage renewal team to know about your experience as an international student seeking information about the Tunghai GMBA program?
08/06/2026 16:52:55,Alumni recommendataions,5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),"GMBA course content, electives, and specialization tracks, GMBA tuition, program fees, and available scholarships, Visa and ARC application process for GMBA students, Career outcomes and employment rates of GMBA graduates in Taiwan/Asia, Internship opportunities and work permit rules for GMBA students",4,2,2,2,1 (Not a barrier),4,,"Asked a current student or alumni, Contacted the program office directly by email, Searched general web or Google, Asked on social media or forums (e.g., Facebook groups), Consulted an education agent",Step-by-step written guide,5,,
08/06/2026 16:53:20,Friends/Families,4,4,4,4,4,4,5 (Extremely important),4,4,4,4,3,3,3,3,3,3,3,3,3,"GMBA course content, electives, and specialization tracks, GMBA tuition, program fees, and available scholarships, Housing and living costs specific to studying in Taichung",4,4,4,4,4,5 (Major barrier),Professor information and course teach,I gave up looking for the information,Short explanatory video,3,,
08/06/2026 16:55:47,Friends/Families,3,3,3,4,3,3,3,3,3,3,5 (Fully sufficient),5 (Fully sufficient),4,5 (Fully sufficient),4,4,4,4,4,4,"GMBA tuition, program fees, and available scholarships, Career outcomes and employment rates of GMBA graduates in Taiwan/Asia, Internship opportunities and work permit rules for GMBA students",5 (Major barrier),3,5 (Major barrier),4,4,5 (Major barrier),"when I tried to look for more information regarding the courses and when applying to the program, I found it a bit hard to understand since the english translation also change the website format a bit, but thankfully the gmba’s TA always being super helpful","Asked a current student or alumni, Contacted the program office directly by email",Infographic or visual summary,3,a specific and accurate english translation.,
08/06/2026 16:55:52,University website,5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),"GMBA class schedule, format (full-time/part-time), and language of instruction, Faculty who teach in the GMBA program and their industry experience, Chinese language requirements or support offered within the GMBA program",5 (Major barrier),5 (Major barrier),5 (Major barrier),5 (Major barrier),5 (Major barrier),5 (Major barrier),,Contacted the program office directly by email,Step-by-step written guide,5,,
08/06/2026 16:56:48,Friends/Families,4,4,4,3,4,3,3,4,3,4,4,4,3,3,4,3,4,4,3,4,"Internship opportunities and work permit rules for GMBA students, Faculty who teach in the GMBA program and their industry experience, GMBA student community, cohort size, and nationality mix",2,3,3,2,2,3,I never used the website,Asked a current student or alumni,Short explanatory video,3,"An updated job information (part-time, intern, full time)",None
08/06/2026 16:57:03,Friends/Families,3,3,3,3,3,3,3,3,3,3,5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),2,3,2,5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),"GMBA course content, electives, and specialization tracks, GMBA tuition, program fees, and available scholarships, Housing and living costs specific to studying in Taichung",1 (Not a barrier),1 (Not a barrier),1 (Not a barrier),3,3,5 (Major barrier),registation,Asked a current student or alumni,Step-by-step written guide,4,website in english,no
08/06/2026 16:58:43,Education fairs,4,5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),3,2,5 (Extremely important),4,4,4,3,3,2,3,3,2,4,"Visa and ARC application process for GMBA students, Career outcomes and employment rates of GMBA graduates in Taiwan/Asia, Housing and living costs specific to studying in Taichung",3,3,3,3,3,3,Property agents outside of Tunghai,Asked Sally,Step-by-step written guide,4,Property agent contacts outside of Tunghai and direct scholarship application button.,No.
08/06/2026 16:58:44,Alumni recommendataions,5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),4,5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),"GMBA course content, electives, and specialization tracks, GMBA tuition, program fees, and available scholarships, Chinese language requirements or support offered within the GMBA program",3,2,3,3,4,5 (Major barrier),"To be honest, I did not have much difficulty finding information on the homepage. Most of the key information, such as admissions requirements, application procedures, tuition fees, and scholarship opportunities, was clearly available. ","Asked a current student or alumni, Searched general web or Google, Consulted an education agent",Step-by-step written guide,4,About living costs in Taichung,"As an international student, I actually found the website quite helpful. Most of my questions regarding admissions, scholarships, and the program structure were already answered on the website. I think maintaining up to date information and improving the overall user experience would be more important than adding additional content."
08/06/2026 17:00:14,Friends/Families,4,4,2,3,2,2,3,4,2,2,4,4,3,2,2,3,3,3,3,2,"GMBA course content, electives, and specialization tracks, Career outcomes and employment rates of GMBA graduates in Taiwan/Asia, Faculty who teach in the GMBA program and their industry experience",4,4,4,4,4,4,Professor detail industry background & past published thesis,"Asked a current student or alumni, Searched general web or Google",Infographic or visual summary,2,A smart AI chat bot that can lead us to the correct link or source ,"improve the English UI/ UX , updated with some latest GMBA news. The default homepage should look exiting and inspiring with some typical power-BI insights to show statistic."
08/06/2026 17:01:41,University website,2,3,3,2,3,1 (Not important),2,2,2,2,2,2,1 (Far too little),2,1 (Far too little),1 (Far too little),1 (Far too little),1 (Far too little),2,1 (Far too little),"Visa and ARC application process for GMBA students, Internship opportunities and work permit rules for GMBA students, Chinese language requirements or support offered within the GMBA program",2,2,2,3,2,2,Job opportunities,I gave up looking for the information,Step-by-step written guide,2,"Communities, Alumni, update related laws","No, is it"
08/06/2026 17:04:14,Alumni recommendataions,3,3,3,3,3,3,3,3,3,3,5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),"GMBA course content, electives, and specialization tracks, GMBA tuition, program fees, and available scholarships, Visa and ARC application process for GMBA students",1 (Not a barrier),1 (Not a barrier),1 (Not a barrier),1 (Not a barrier),1 (Not a barrier),1 (Not a barrier),"As an exchange student taking GMBA classes, some information was not directly related to my situation, but overall it was not a big issue.","Asked a current student or alumni, Contacted the program office directly by email, Searched general web or Google",Infographic or visual summary,5,A short note or FAQ for exchange students taking GMBA classes.,"Overall, my experience was good. A little more guidance for exchange students would be helpful, especially since our student status may be slightly different from regular GMBA students."
08/06/2026 17:09:32,Ranking sites,3,5 (Extremely important),5 (Extremely important),4,4,4,4,5 (Extremely important),5 (Extremely important),5 (Extremely important),3,5 (Fully sufficient),3,2,3,4,4,4,3,3,"GMBA tuition, program fees, and available scholarships, GMBA class schedule, format (full-time/part-time), and language of instruction, Housing and living costs specific to studying in Taichung",2,3,3,3,2,5 (Major barrier),Full english hompage,"Contacted the program office directly by email, Searched general web or Google",Infographic or visual summary,3,The latest information what program/ activity gmba did,
08/06/2026 17:18:54,Education fairs,5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),4,4,4,4,4,4,4,4,4,4,"GMBA course content, electives, and specialization tracks, GMBA tuition, program fees, and available scholarships, Internship opportunities and work permit rules for GMBA students",5 (Major barrier),5 (Major barrier),5 (Major barrier),5 (Major barrier),5 (Major barrier),5 (Major barrier),,Searched general web or Google,Downloadable PDF checklist,4,,
08/06/2026 17:23:02,Friends/Families,5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),2,4,1 (Not important),1 (Not important),1 (Not important),3,4,3,3,3,3,3,3,3,3,"GMBA course content, electives, and specialization tracks, GMBA tuition, program fees, and available scholarships, Career outcomes and employment rates of GMBA graduates in Taiwan/Asia",4,4,4,4,4,4,tuition fee,Asked a current student or alumni,Short explanatory video,2,-,-
08/06/2026 17:24:41,Friends/Families,5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Fully sufficient),4,4,1 (Far too little),5 (Fully sufficient),5 (Fully sufficient),3,5 (Fully sufficient),2,5 (Fully sufficient),"Career outcomes and employment rates of GMBA graduates in Taiwan/Asia, Internship opportunities and work permit rules for GMBA students, Chinese language requirements or support offered within the GMBA program",4,4,2,2,2,5 (Major barrier),Scholarship,"Contacted the program office directly by email, Searched general web or Google",Step-by-step written guide,4,Try to give all info in English based,"Internship programs and other work study program should be more, better to have one. Because we are undervalued, even though we are from higher education, we tend to work in places where even a senior high graduate is applicable."
08/06/2026 17:25:21,Agents,5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),4,3,3,2,3,2,2,3,2,2,"GMBA tuition, program fees, and available scholarships, Internship opportunities and work permit rules for GMBA students, GMBA student community, cohort size, and nationality mix",4,5 (Major barrier),4,5 (Major barrier),4,5 (Major barrier),Course map ,"Asked a current student or alumni, I gave up looking for the information",Step-by-step written guide,3,What students in GMBA lately do ? ,"I need more feedback from alumni experience, their life in Taiwan after graduate. "
08/06/2026 17:36:09,Friends/Families,5 (Extremely important),5 (Extremely important),4,5 (Extremely important),5 (Extremely important),4,5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Extremely important),5 (Fully sufficient),4,5 (Fully sufficient),3,5 (Fully sufficient),4,5 (Fully sufficient),5 (Fully sufficient),4,5 (Fully sufficient),"GMBA course content, electives, and specialization tracks, GMBA tuition, program fees, and available scholarships, Career outcomes and employment rates of GMBA graduates in Taiwan/Asia",2,2,2,3,3,3,"Not gonna lie, one of the hardest information to find is dormitory information detail. Also, for additional, there was no photo (as long as I remember and as far as I've tried to find it). So, as a first timer student who wants to live in the dormitory, it was hard to imagine.","Asked a current student or alumni, Contacted the program office directly by email",Downloadable PDF checklist,4,"I would add a 'Global Career Pipelines & Alumni Pathways' section. This section should feature active job vacancies from companies that have corporate relationships with Tunghai, alongside success stories and networking links with successful international alumni.","The website does a great job of presenting detailed and updated information about the program itself. To make it even stronger, it should also show the 'after-graduation path' for international students. Introducing a 'Global Career Pipelines & Alumni Pathways' section will give prospective students a clear understanding of Tunghai’s corporate network and help them see how the GMBA program will advance their future careers."
08/06/2026 18:17:45,Friends/Families,5 (Extremely important),5 (Extremely important),3,5 (Extremely important),4,2,5 (Extremely important),5 (Extremely important),4,5 (Extremely important),5 (Fully sufficient),2,2,3,2,4,2,5 (Fully sufficient),2,2,"Career outcomes and employment rates of GMBA graduates in Taiwan/Asia, Internship opportunities and work permit rules for GMBA students, GMBA class schedule, format (full-time/part-time), and language of instruction, Housing and living costs specific to studying in Taichung",4,2,2,4,5 (Major barrier),1 (Not a barrier),Information about the dormitory,Asked a current student or alumni,Step-by-step written guide,3,,
08/06/2026 18:23:31,University website,5 (Extremely important),4,5 (Extremely important),5 (Extremely important),5 (Extremely important),3,4,5 (Extremely important),4,5 (Extremely important),5 (Fully sufficient),3,5 (Fully sufficient),4,5 (Fully sufficient),4,5 (Fully sufficient),5 (Fully sufficient),5 (Fully sufficient),4,"GMBA course content, electives, and specialization tracks, GMBA tuition, program fees, and available scholarships, Visa and ARC application process for GMBA students",2,2,2,1 (Not a barrier),2,2,Tuition fee ,"Contacted the program office directly by email, Searched general web or Google",Step-by-step written guide,4,Tuition fee ,
